network,gap,lower_bound,upper_bound,time,steps
1-1,8.489393882551294e-5,-0.01768762570130527,-0.017602731762479756,1.527078948,1059
1-2,6.549388068880294e-5,-0.016808651311091934,-0.01674315743040313,2.41428493,1877
1-3,7.771636488440592e-5,-0.015953835043812148,-0.015876118678927742,10.339931063,9020
1-4,7.520645001089094e-5,-0.01584422624358307,-0.01576901979357218,2.36739459,1651
1-5,9.951776026112177e-5,-0.01521308174379987,-0.015113563983538749,2.808296991,1734
1-6,9.324659171300667e-5,-0.016450982705201466,-0.01635773611348846,3.814213985,2684
1-7,9.596049227366538e-5,-0.018763753208796106,-0.01866779271652244,0.880277083,611
1-8,7.34889512090317e-5,-0.018687758970574776,-0.018614270019365744,2.090931135,1540
1-9,8.063302172713407e-5,-0.019020982434225807,-0.018940349412498673,0.69634115,475
2-1,9.017437935236738e-5,0.06473047055871134,0.0648206449380637,12.205339646,11002
2-2,0.00013935451618697636,0.06861487109955287,0.06875422561573985,180.000942224,160577
2-3,9.646929126878867e-5,0.05786967303076697,0.05796614232203576,12.66509731,9522
2-4,9.003088046694377e-5,0.02675345521116426,0.026843486091631202,114.694345991,99126
2-5,7.457292186333064e-5,0.07324115434542852,0.07331572726729185,23.351452753,16114
2-6,8.9612101836542e-5,0.0348490427042087,0.034938654806045244,33.301592055,24573
2-7,9.968876664505355e-5,0.05448152404217639,0.054581212808821444,46.778042877,35451
2-8,9.566823860950036e-5,0.07689370161380181,0.07698936985241131,14.437380104,12043
2-9,0.0016505747935889326,0.02674855313277108,0.028399127926360013,180.000614992,142234
3-1,9.505690426174496e-5,0.0683105184823294,0.06840557538659114,61.954245082,51867
3-2,0.00013135144205064786,0.03341732198322658,0.03354867342527723,180.000744666,167847
3-3,9.3907892897125e-5,0.026585144835730542,0.026679052728627667,136.008670662,113055
3-4,9.40919640097515e-5,0.065667467270334,0.06576155923434375,8.885597774,7155
3-5,8.626749065607231e-5,0.0618424296321555,0.06192869712281157,11.795762678,8595
3-6,9.904777819052038e-5,0.02946353226506566,0.02956258004325618,122.666098731,87321
3-7,9.384398746194178e-5,0.08669423524705154,0.08678807923451348,40.246447503,32457
3-8,8.989174293913549e-5,0.05374728298439649,0.053837174727335624,17.415246982,12220
3-9,8.721167512384942e-5,0.12537806161433382,0.12546527328945767,49.672923908,40165
4-1,0.006903345068739734,0.02943550389999356,0.036338848968733295,180.000388445,149545
4-2,9.703241955890535e-5,0.03570441408407172,0.035801446503630624,76.249186137,58369
4-3,9.972223353371668e-5,0.050422912153525096,0.05052263438705881,38.685892012,32914
4-4,9.022129044394811e-5,0.05603072447532864,0.05612094576577259,8.183356406,6150
4-5,0.0001303556816511786,0.054430115752432645,0.054560471434083824,180.00085469,145582
4-6,8.973481162974362e-5,0.0760905357415195,0.07618027055314924,104.104838461,74999
4-7,8.018271545812139e-5,0.08067356875371151,0.08075375146916963,18.877368097,13404
4-8,9.256647843518262e-5,0.12179193274676538,0.12188449922520056,23.474007643,16843
4-9,0.0022057563219729792,0.022050723695797456,0.024256480017770435,180.000814766,138043
5-1,9.041172273827058e-5,0.04650411409343659,0.04659452581617486,19.787854161,16308
5-2,9.353508887104817e-5,0.03013964176264003,0.030233176851511077,141.956271945,123390
5-3,0.002176975986215232,0.023393877051603104,0.025570853037818336,180.06701602,155470
5-4,9.462916794958365e-5,0.047165986679080535,0.04726061584703012,125.738855986,114501
5-5,8.946852918122888e-5,0.0428581392346434,0.04294760776382463,20.382219869,15728
5-6,9.540825091225447e-5,0.044322492530636776,0.04441790078154903,29.636510796,22091
5-7,9.40726653859969e-5,0.06750209753583239,0.06759617020121839,13.856653679,9960
5-8,9.899010758365745e-5,0.08238172437895416,0.08248071448653782,17.851076636,13854
5-9,7.500494934511992e-5,0.0644356272143479,0.06451063216369302,19.125561821,14045
