network,gap,lower_bound,upper_bound,time,steps
1-1,0.0009671062530332945,-0.017768583207969105,-0.01680147695493581,0.790910732,484
1-2,0.0008216277837200664,-0.01708845780500534,-0.016266830021285275,2.672627838,1967
1-3,0.0008492414546850124,-0.01598439158812076,-0.015135150133435749,11.693103857,9583
1-4,0.0007926271951024435,-0.015967513946727435,-0.015174886751624992,2.231253433,1450
1-5,0.0009585814969935852,-0.015213503048704658,-0.014254921551711073,3.577054938,1173
1-6,0.0008851206741110722,-0.016450982705201466,-0.015565862031090394,3.921359384,2559
1-7,0.0007115537470026995,-0.01888211026132331,-0.01817055651432061,0.866234925,563
1-8,0.0009142643907143859,-0.018710933595362144,-0.017796669204647758,1.174636239,760
1-9,0.0009650675647115796,-0.01915019957629342,-0.01818513201158184,0.470798408,290
2-1,0.0009571360579322258,0.06451154313660482,0.06546867919453704,8.429560841,7099
2-2,0.001298619490517322,0.06835548169188924,0.06965410118240656,60.000816944,50156
2-3,0.0009697535423679876,0.05781210589925041,0.0587818594416184,9.319057024,7065
2-4,0.0009632387258724541,0.02666797662411263,0.027631215349985083,60.001034865,54289
2-5,0.0007921150043266323,0.07308933942853812,0.07388145443286476,23.379352754,16495
2-6,0.0008927095774843297,0.03478500449998835,0.03567771407747268,26.686232417,20236
2-7,0.0009953894802966073,0.054293866129023385,0.05528925560931999,34.383006875,25211
2-8,0.0009099542160076329,0.07670841667557138,0.07761837089157901,6.888371201,4951
2-9,0.00716413751863558,0.026350700459261314,0.033514837977896894,60.000227913,44577
3-1,0.0008846122252951921,0.06817036544856321,0.0690549776738584,21.678123587,17157
3-2,0.0009709459765545464,0.033337555262241816,0.03430850123879636,15.260914088,12392
3-3,0.002659573427640085,0.02630297371556903,0.028962547143209116,60.001159759,48534
3-4,0.0009158849737854607,0.06523392798837292,0.06614981296215838,7.11106406,5799
3-5,0.000900899320169346,0.06158328325075202,0.062484182570921365,10.824298263,8030
3-6,0.00737518574546964,0.02792381919014014,0.03529900493560978,60.000606091,40554
3-7,0.0009700142800028455,0.08640539058543498,0.08737540486543782,23.342868206,17384
3-8,0.0009590036493808823,0.05360798843090349,0.05456699208028437,18.387906088,12620
3-9,0.0009114731292658995,0.12521581209777485,0.12612728522704075,22.094892142,16350
4-1,0.0182680605676147,0.02943550389999356,0.04770356446760826,60.00066948,46969
4-2,0.0009224150195021527,0.03563784509643667,0.036560260115938825,49.059448304,37712
4-3,0.0009291395032060695,0.05021206651159292,0.05114120601479899,20.22768231,16702
4-4,0.0009414673545373176,0.05591624166949366,0.05685770902403098,6.775678506,5080
4-5,0.0069592537037983515,0.05302812865218942,0.05998738235598777,60.000592489,46865
4-6,0.02371096888499985,0.07144177716849265,0.0951527460534925,60.015860329,41369
4-7,0.0009217073429388656,0.08041893562064747,0.08134064296358634,18.243709248,12455
4-8,0.0008507839456998595,0.12147890593715867,0.12232968988285853,24.15803324,17232
4-9,0.007583491876258883,0.022050452890972363,0.029633944767231246,60.000703414,42606
5-1,0.0009605912059147681,0.046381203536797894,0.04734179474271266,11.086400759,9064
5-2,0.0014297396302350232,0.030087638994049364,0.03151737862428439,60.000450514,51793
5-3,0.0036145194906941243,0.02345892273131379,0.027073442222007915,60.000850748,52099
5-4,0.0009717048523617128,0.04706405675537577,0.04803576160773748,36.430717499,34001
5-5,0.0009736100709084247,0.042533836676437196,0.04350744674734562,17.411473904,13599
5-6,0.0008635934274439372,0.044223828023819106,0.04508742145126304,29.871725834,21103
5-7,0.00035556951716196605,0.06749974092823827,0.06785531044540023,13.633293588,9829
5-8,0.0009095280706073461,0.08226588515611816,0.0831754132267255,13.403803479,9468
5-9,0.0007493954946066472,0.06396545845361026,0.06471485394821691,20.896434989,14736
