network,gap,lower_bound,upper_bound,time,steps
1-1,4.877687977237338e-5,-0.01769856821314177,-0.017649791333369396,35.262201141,161200
1-2,7.347111977833512e-5,-0.016833655908459755,-0.01676018478868142,21.98992895,104200
1-3,0.003125391023593573,-0.017142979749598043,-0.01401758872600447,180.017348997,783600
1-4,8.54972124154918e-5,-0.015901233758601703,-0.01581573654618621,6.129068275,25100
1-5,9.694246760076804e-5,-0.01526876189158668,-0.015171819423985912,10.314855134,43800
1-6,7.789313166417511e-5,-0.01651501689495763,-0.016437123763293454,14.653788626,57600
1-7,9.711988228793336e-5,-0.018801450252128118,-0.018704330369840184,5.268992252,22200
1-8,6.940773768407058e-5,-0.01869230722552642,-0.018622899487842348,4.78327886,19800
1-9,7.786413428445896e-5,-0.019079892381601876,-0.019002028247317417,1.279419402,4800
2-1,7.029362939448003e-5,0.06471259422469572,0.0647828878540902,105.741461317,471300
2-2,7.814239997060157e-5,0.0685965689264654,0.068674711326436,84.486658235,359900
2-3,0.0026326434331667564,0.056784798095910125,0.05941744152907688,180.0015681,780800
2-4,0.005188007484646342,0.026541483989070056,0.0317294914737164,180.013608456,776400
2-5,5.974455610791019e-8,0.07329468310908477,0.07329474285364088,119.217684191,466053
2-6,0.01772894622426729,0.03100343637327393,0.04873238259754122,180.004539276,722500
2-7,0.022956889112966644,0.04569899444611067,0.06865588355907731,180.006410525,685500
2-8,7.906084511077882e-5,0.07687400766014046,0.07695306850525124,83.680833195,316300
2-9,0.02212146474257754,0.025742096722043438,0.04786356146462098,180.023060727,674500
3-1,0.00813010636402739,0.06763540121807063,0.07576550758209802,180.009283322,711100
3-2,0.013941958277726721,0.03316765750448254,0.04710961578220926,180.087308028,775000
3-3,0.09347909476140291,0.025016451286158883,0.1184955460475618,180.009747305,726800
3-4,9.810611814593806e-5,0.06565504265320506,0.065753148771351,156.102019845,697100
3-5,0.003998374274303176,0.059875164731147165,0.06387353900545034,180.055005341,720000
3-6,0.006873473325435139,0.02658990322164524,0.03346337654708038,180.050042523,689200
3-7,0.0003702436466266473,0.08660576860928519,0.08697601225591184,180.005181414,736700
3-8,3.335910540994136e-5,0.053737562284563944,0.053770921389973886,175.815508631,663900
3-9,0.0030907904636370276,0.1238092440541641,0.12690003451780113,180.088447195,689900
4-1,0.0409045794943704,0.027114385462050777,0.06801896495642118,180.011420032,739200
4-2,0.00045183626654406867,0.035550221948713275,0.03600205821525734,180.04482794,740100
4-3,0.0008389242608736122,0.04996389184376765,0.05080281610464126,180.013034636,776300
4-4,7.957831592180636e-5,0.05600680549105527,0.05608638380697708,21.409366792,97000
4-5,0.0022821858502161327,0.05384672535173947,0.0561289112019556,180.041222922,756200
4-6,0.029879825787997763,0.06508394257333983,0.09496376836133759,180.017679315,667200
4-7,7.362467132347728e-5,0.08066902577151062,0.0807426504428341,155.44020512,599200
4-8,8.706138208836034e-5,0.12179239300707935,0.12187945438916771,179.462847554,721500
4-9,0.07567030743980507,0.021646290543418358,0.09731659798322344,180.008786651,638600
5-1,0.06883335731769669,0.038925437387416176,0.10775879470511286,180.0153103,756800
5-2,0.006298808975787516,0.029382836844343334,0.03568164582013085,180.002577074,752900
5-3,0.005277570123439476,0.023428666238554052,0.02870623636199353,180.01439452,752100
5-4,8.518595440978882e-5,0.04715434383863838,0.04723952979304817,162.548927006,704600
5-5,0.004213150553492327,0.041704342423670014,0.04591749297716234,180.009103236,769100
5-6,0.010978713471407935,0.03712945815276823,0.04810817162417617,180.005287113,711200
5-7,1.827343643567847e-6,0.06756794346168898,0.06756977080533255,113.667566181,458500
5-8,0.00641923278548398,0.08032485760822473,0.08674409039370871,180.020737859,713400
5-9,0.0008633296876061347,0.06369259824867562,0.06455592793628176,180.017787277,710900
