network,gap,lower_bound,upper_bound,time,steps
1-1,9.8204395545122e-5,-0.017699843495797674,-0.01760163910025255,34.739813571,154939
1-2,8.508083501644961e-5,-0.016818428100945443,-0.016733347265928993,20.08373035,93147
1-3,0.0025166433650036825,-0.01648673999949664,-0.013970096634492956,180.089841,775912
1-4,8.468981213312354e-5,-0.01587461718318763,-0.015789927371054505,5.910211669,24138
1-5,9.629286075525482e-5,-0.015261794012949659,-0.015165501152194404,10.1989613,42917
1-6,9.498598312662407e-5,-0.016519365374372146,-0.01642437939124552,14.576743517,56776
1-7,9.294786706564792e-5,-0.01879273688640075,-0.0186997890193351,5.342066074,21957
1-8,9.509601925537445e-5,-0.01869744200189334,-0.018602345982637967,4.199019887,17173
1-9,9.282346403115607e-5,-0.01907508692354613,-0.018982263459514974,1.10619576,3844
2-1,8.748212698854452e-5,0.06471503607442051,0.06480251820140906,102.128765203,454678
2-2,9.581285790827287e-5,0.06859990334568618,0.06869571620359445,81.049666628,346070
2-3,0.0021600380451366336,0.05729619052573609,0.059456228570872724,180.000101045,769890
2-4,0.005192497936112466,0.02660103556752998,0.031793533503642446,180.024238998,750140
2-5,8.383117194295242e-5,0.07321658058414723,0.07330041175609019,118.654942212,465921
2-6,0.01464551498135054,0.034236510281670365,0.048882025263020906,180.000191137,716740
2-7,0.017559458182140955,0.05116551205367288,0.06872497023581384,180.000242873,681891
2-8,9.954350288074454e-5,0.07685862483387598,0.07695816833675673,82.238049537,315143
2-9,0.021518333659806897,0.026344767449384354,0.04786310110919125,180.000195214,674532
3-1,0.007756776279207192,0.06799407148495394,0.07575084776416113,180.00020944,712307
3-2,0.013984548095657107,0.03330942911120109,0.0472939772068582,180.572713211,754409
3-3,0.0932303676308231,0.025524720602578987,0.11875508823340208,180.000023431,722044
3-4,9.86581061693248e-5,0.06569097519159116,0.06578963329776048,156.189726345,686190
3-5,0.00361633120913131,0.06015560085914269,0.063771932068274,180.000143996,704234
3-6,0.005435627821005189,0.02802658599815033,0.03346221381915552,180.010166613,689387
3-7,0.00032473614711051035,0.08665771184059086,0.08698244798770137,180.000116492,716293
3-8,9.780631916962712e-5,0.0537027699433658,0.05380057626253543,169.746093927,662076
3-9,0.002093533242930601,0.12479178111935407,0.12688531436228467,180.000046681,683984
4-1,0.04060216401934058,0.027822363022469543,0.06842452704181012,180.000195171,727798
4-2,0.0004206214483837012,0.03560866339368677,0.03602928484207047,180.0620212,724070
4-3,0.0007247910221443027,0.05012585241134465,0.050850643433488954,180.083330659,770753
4-4,9.363950855489911e-5,0.056015341932372426,0.056108981440927325,21.07092891,93187
4-5,0.0021941102029148785,0.05406073500515529,0.05625484520807017,180.000108246,722046
4-6,0.027020640559956857,0.06790493865488606,0.09492557921484292,180.000176967,668465
4-7,8.365805824978034e-5,0.08067118833214186,0.08075484639039164,157.881876921,595919
4-8,8.706474558198285e-5,0.12181169705284646,0.12189876179842844,180.000077109,707294
4-9,0.07345615144633702,0.022071711306638,0.09552786275297502,180.057873189,649256
5-1,0.06963481198690442,0.04012774118777236,0.10976255317467679,180.000036419,727537
5-2,0.0062859038660999095,0.029411750681890503,0.03569765454799041,180.000031821,747623
5-3,0.0052283693763277884,0.023469391008911156,0.028697760385238944,180.000115052,757331
5-4,9.782915225696465e-5,0.04715994711105542,0.04725777626331239,158.719368037,686187
5-5,0.0035609741247509333,0.04235807754514836,0.04591905166989929,180.000108575,768618
5-6,0.006222710445168006,0.041904562049555755,0.04812727249472376,180.000040449,709945
5-7,9.842537812131125e-5,0.06748598791971286,0.06758441329783417,115.504153721,457885
5-8,0.006126861156261834,0.08050919302490828,0.08663605418117011,180.000092002,722420
5-9,0.0007462605646356146,0.06402724140016111,0.06477350196479673,180.00048767,698743
