property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,-4.00917068264572,-0.18838604811834614,0.070312235,43
1,1-2,UNSAT,-4.010377180778043,-0.026503099328216706,0.140508179,64
1,1-3,UNSAT,-4.008232544382781,-0.0682947252853856,0.264286847,164
1,1-4,UNSAT,-4.008561449731091,-0.04828000555267131,0.164796833,98
1,1-5,UNSAT,-4.007901345736838,-0.07720307889701505,0.066927986,40
1,1-6,UNSAT,-4.00904961725883,-0.0073100711497664506,0.07708335,57
1,1-7,UNSAT,-4.010007756161324,-0.24482140365474248,0.083081007,38
1,1-8,UNSAT,-4.010104217511666,-0.6655350894458101,0.04340181,25
1,1-9,UNSAT,-4.010296282755596,-0.25931314027304553,0.031840352,22
1,2-1,UNSAT,-3.9469271168483475,-0.08260665572280157,0.218181233,123
1,2-2,UNSAT,-3.936723790738344,-0.013059149876120557,0.364483326,253
1,2-3,UNSAT,-3.946617448711846,-0.0011145652688195895,0.428351632,261
1,2-4,UNSAT,-3.9653488555442475,-0.06294858938822401,0.157594513,95
1,2-5,UNSAT,-3.922553087663818,-0.00015218224088453525,0.525528448,351
1,2-6,UNSAT,-3.9611187513621156,-0.015007837277611458,0.539149997,342
1,2-7,UNSAT,-3.9494820482913333,-0.021286841348547192,1.089254767,730
1,2-8,UNSAT,-3.9197601017664976,-0.061768507296824815,1.314453082,854
1,2-9,UNSAT,-3.966115701401767,-0.028942559572534776,1.149060239,757
1,3-1,UNSAT,-3.934498811535292,-0.01943996119834157,0.309093649,212
1,3-2,UNSAT,-3.9581739582511504,-0.17684518716717523,0.199398859,127
1,3-3,UNSAT,-3.966917962150912,-0.013098646257918567,0.235658028,156
1,3-4,UNSAT,-3.936534284113418,-0.10350667053937279,0.17178425,107
1,3-5,UNSAT,-3.949232413232478,-0.002581943967898681,0.305634118,203
1,3-6,UNSAT,-3.9647506659318728,-0.007945613708674415,1.711732391,1149
1,3-7,UNSAT,-3.9583864466407865,-0.002432898080780177,1.122863481,737
1,3-8,UNSAT,-3.9645491133240576,-0.007116897373638409,0.73106982,483
1,3-9,UNSAT,-3.901304193523654,-0.01364953666637625,1.44926806,975
1,4-1,UNSAT,-3.9654497685109296,-0.006673050067184327,0.595512845,410
1,4-2,UNSAT,-3.9566209372849177,-0.007477427433798756,0.327780919,192
1,4-3,UNSAT,-3.9514910068784714,-0.024834293430949117,0.175106286,128
1,4-4,UNSAT,-3.943414055574234,-0.10589909311228807,0.171869629,107
1,4-5,UNSAT,-3.944140039787054,-0.0197701599115927,0.431761026,283
1,4-6,UNSAT,-3.930232944996142,-0.0025997267216162356,1.814114244,1222
1,4-7,UNSAT,-3.962744742676909,-0.0032954153498714334,1.644541548,1089
1,4-8,UNSAT,-3.9181161585512587,-0.01341797786355059,1.036440111,685
1,4-9,UNSAT,-3.96922507939035,-0.028024727593949805,1.834181569,1200
1,5-1,UNSAT,-3.9513095241909606,-0.0561642051304343,0.208577166,128
1,5-2,UNSAT,-3.963976010907357,-0.03579249407934881,0.143052226,108
1,5-3,UNSAT,-3.968214471382103,-0.29079204756579236,0.14749829,78
1,5-4,UNSAT,-3.949807899600588,-0.13586658850000077,0.133400094,94
1,5-5,UNSAT,-3.948896783697994,-0.020580762682754106,0.361287959,231
1,5-6,UNSAT,-3.9499266149533114,-0.008453287562587342,0.813739909,549
1,5-7,UNSAT,-3.941056716649093,-0.011297920992154431,0.769144365,512
1,5-8,UNSAT,-3.946892782459579,-0.02438639640814344,1.44037123,977
1,5-9,UNSAT,-3.9507914442363727,-0.012769525166918427,0.982950895,639
2,1-1,unsat,7.409846012279477e-5,0.0025448432264916516,0.37570535,268
2,1-2,sat,-0.004882763093713858,-0.00011221770550530626,0.447879095,292
2,1-3,sat,-0.015626418206409157,-0.00013402872731676976,0.806067406,552
2,1-4,sat,-0.6390462548935829,-0.0002113393049292039,0.222536923,139
2,1-5,sat,-0.0019979122096749624,-0.00020555433558908272,1.480316133,1023
2,1-6,sat,-0.0163969572115107,-0.0003199539906805116,0.786333583,517
2,1-7,unsat,8.966978545522073e-6,0.0007342506787799408,0.576492975,382
2,1-8,unsat,1.1137723759557967e-6,0.0007805999999999993,0.955793835,629
2,1-9,unsat,1.1726021535279083e-6,0.0006703000000000021,0.684976228,476
2,2-1,sat,-168.74609896033755,-0.012061388720351498,0.011880477,9
2,2-2,sat,-507.4829447191246,-0.023681889153761612,0.021121969,11
2,2-3,sat,-551.371384236643,-0.0007869933885370703,0.0189205,13
2,2-4,sat,-1157.0130496168435,-0.0013442321292604711,0.002537777,2
2,2-5,sat,-3007.4981736265854,-0.03949769091734863,0.003373779,2
2,2-6,sat,-9063.214084375682,-0.004425097103412413,0.003185032,2
2,2-7,sat,-13032.171688584116,-0.0021051527424856276,0.002158876,2
2,2-8,sat,-24191.641295436493,-0.0457537779336695,0.00263257,2
2,2-9,sat,-3836.49407184553,-0.00014756016370213315,0.008286142,6
2,3-1,sat,-415.3464516453852,-0.02148420887871698,0.004192117,3
2,3-2,sat,-10.597436441683577,-0.0003309285559473171,0.119084904,57
2,3-3,inconclusive,-0.005227988416911411,0.0009549361326985021,60.000344422,48439
2,3-4,sat,-53.61678310501991,-0.004025339119245762,0.035916097,24
