network,gap,lower_bound,upper_bound,time,steps
1-1,8.489393882551294e-5,-0.01768762570130527,-0.017602731762479756,1.589014043,1074
1-2,6.549388068880294e-5,-0.016808651311091934,-0.01674315743040313,3.049060767,2292
1-3,7.771636488440592e-5,-0.015953835043812148,-0.015876118678927742,12.361581509,10824
1-4,7.520645001089094e-5,-0.01584422624358307,-0.01576901979357218,2.762117191,1997
1-5,9.951776026112177e-5,-0.01521308174379987,-0.015113563983538749,2.631812218,1874
1-6,9.324659171300667e-5,-0.016450982705201466,-0.01635773611348846,5.080039552,3435
1-7,9.596049227366538e-5,-0.018763753208796106,-0.01866779271652244,1.142876872,765
1-8,7.34889512090317e-5,-0.018687758970574776,-0.018614270019365744,2.514185524,1793
1-9,7.193971462908857e-5,-0.019020982434225807,-0.01894904271959672,0.84943118,552
2-1,9.017437935236738e-5,0.06473047055871134,0.0648206449380637,12.833878931,11110
2-2,0.00014225182563766536,0.06861487109955287,0.06875712292519054,180.000566557,161324
2-3,9.646929126878867e-5,0.05786967303076697,0.05796614232203576,12.570171713,9796
2-4,9.003088046694377e-5,0.02675345521116426,0.026843486091631202,110.409636122,99042
2-5,7.457292186333064e-5,0.07324115434542852,0.07331572726729185,24.918675741,16889
2-6,8.9612101836542e-5,0.0348490427042087,0.034938654806045244,33.014265822,25333
2-7,9.968876664505355e-5,0.05448152404217639,0.054581212808821444,46.398563916,35542
2-8,9.566823860950036e-5,0.07689370161380181,0.07698936985241131,14.682541166,12286
2-9,0.0018693963251403961,0.026350700459261314,0.02822009678440171,180.0006952,150204
3-1,9.505690426174496e-5,0.0683105184823294,0.06840557538659114,60.098615463,52304
3-2,0.00012818729676297713,0.03341732198322658,0.03354550927998956,180.083140418,174093
3-3,9.3907892897125e-5,0.026585144835730542,0.026679052728627667,139.186233146,114285
3-4,9.40919640097515e-5,0.065667467270334,0.06576155923434375,8.726145762,7226
3-5,8.626749065607231e-5,0.0618424296321555,0.06192869712281157,13.257273949,9387
3-6,9.904777819052038e-5,0.02946353226506566,0.02956258004325618,113.576532033,84485
3-7,9.384398746194178e-5,0.08669423524705154,0.08678807923451348,41.418564739,33799
3-8,8.989174293913549e-5,0.05374728298439649,0.053837174727335624,18.670587422,13355
3-9,8.721167512384942e-5,0.12537806161433382,0.12546527328945767,48.133972827,41042
4-1,0.006894031834816565,0.02943550389999356,0.036329535734810126,180.000425088,154636
4-2,9.703241955890535e-5,0.03570441408407172,0.035801446503630624,74.339881243,58997
4-3,9.972223353371668e-5,0.050422912153525096,0.05052263438705881,38.779188076,33165
4-4,9.022129044394811e-5,0.05603072447532864,0.05612094576577259,8.314592467,6347
4-5,9.576957742724046e-5,0.05443604952500175,0.05453181910242899,178.784774091,151408
4-6,8.973481162974362e-5,0.0760905357415195,0.07618027055314924,110.56404199,79052
4-7,8.018271545812139e-5,0.08067356875371151,0.08075375146916963,20.391619215,14495
4-8,9.256647843518262e-5,0.12179193274676538,0.12188449922520056,26.069798788,18281
4-9,0.0022282212644178373,0.022050723695797456,0.024278944960215293,180.037560931,139890
5-1,9.041172273827058e-5,0.04650411409343659,0.04659452581617486,19.66550456,16693
5-2,9.353508887104817e-5,0.03013964176264003,0.030233176851511077,139.165727199,123391
5-3,0.0020847401246224424,0.02345892273131379,0.025543662855936233,180.000259077,160461
5-4,9.462916794958365e-5,0.047165986679080535,0.04726061584703012,121.755356207,114774
5-5,8.946852918122888e-5,0.0428581392346434,0.04294760776382463,21.071698709,16662
5-6,9.540825091225447e-5,0.044322492530636776,0.04441790078154903,31.06477788,22719
5-7,9.40726653859969e-5,0.06750209753583239,0.06759617020121839,14.552256852,10143
5-8,9.899010758365745e-5,0.08238172437895416,0.08248071448653782,19.927464267,14734
5-9,7.500494934511992e-5,0.0644356272143479,0.06451063216369302,22.022811738,15003
