network,gap,lower_bound,upper_bound,time,steps
1-1,0.009833281620661705,-0.018298315589514842,-0.008465033968853137,4.60591555,18576
1-2,0.009073109364497407,-0.017354392619478208,-0.0082812832549808,7.807584881,33267
1-3,0.009716862790077599,-0.01686980790513234,-0.007152945115054743,48.669429521,207923
1-4,0.00905271820859696,-0.01643605657254886,-0.0073833383639519,1.836774871,7006
1-5,0.009994531096534068,-0.016070889418010475,-0.006076358321476407,1.191620968,4697
1-6,0.009658135111569098,-0.017182157737286447,-0.0075240226257173495,3.64511938,12999
1-7,0.009512773194272928,-0.019061228966209674,-0.009548455771936746,0.253618469,837
1-8,0.009800218570317053,-0.019140095021610095,-0.009339876451293042,0.426293648,1413
1-9,0.00971769144664023,-0.01915019957629342,-0.009432508129653188,0.090229726,220
2-1,0.008593002940886885,0.06337782406621731,0.0719708270071042,22.986067263,105572
2-2,0.009344196999642715,0.06746267487839126,0.07680687187803398,23.408464281,99073
2-3,0.009478450014740764,0.05704012656538389,0.06651857658012465,41.837839414,193227
2-4,0.009664224474755605,0.026511831164426274,0.03617605563918188,52.804533529,241494
2-5,0.02994385285685614,0.06003984322370264,0.08998369608055878,60.000152408,234707
2-6,0.03486095929810262,0.034236510281670365,0.06909746957977299,60.00014953,251268
2-7,0.042857633844903195,0.04926876319998259,0.09212639704488579,60.001164746,234828
2-8,0.01414408093875491,0.07406514193591035,0.08820922287466526,60.000016669,227389
2-9,0.04068834007787697,0.026344767449384354,0.06703310752726133,60.000071638,225996
3-1,0.0247592141311654,0.06799407148495394,0.09275328561611934,60.000125598,250826
3-2,0.027945006425409424,0.03330942911120109,0.061254435536610516,60.000183077,274976
3-3,0.13245540099289588,0.025524720602578987,0.15798012159547486,60.000104876,256131
3-4,0.009375460435129254,0.06421243420215898,0.07358789463728824,20.979824935,100053
3-5,0.040210373336398125,0.049449696306032326,0.08966006964243045,60.000164823,252813
3-6,0.013434220827893997,0.026785603281472257,0.04021982410936625,60.000027136,241166
3-7,0.018029478578228328,0.07845331483958344,0.09648279341781177,60.006988269,240510
3-8,0.04647106989593069,0.03975538408702662,0.08622645398295731,60.02631423,230058
3-9,0.0751502661705464,0.11228987206449173,0.18744013823503813,60.000143688,235605
4-1,0.07503673944946088,0.02748502057282385,0.10252176002228472,60.000039848,262551
4-2,0.009948415229640233,0.035204028306188635,0.04515244353582887,15.221424904,64661
4-3,0.009513018853383737,0.049928906726758024,0.05944192558014176,16.116161629,75314
4-4,0.009707857627025515,0.054615558020199004,0.06432341564722452,5.640703486,22989
4-5,0.009914782778433509,0.05288022647337852,0.06279500925181203,43.159694194,189982
4-6,0.06888679761415067,0.06459268520889169,0.13347948282304237,60.000144229,225120
4-7,0.05560201549153003,0.06500899578286592,0.12061101127439595,60.016917897,226169
4-8,0.019933717916013685,0.1169231897210523,0.13685690763706598,60.000132307,237822
4-9,0.3250222803808765,0.022071711306638,0.3470939916875145,60.000144669,219728
5-1,0.10272533573775122,0.0399982800173867,0.14272361575513792,60.000092713,268739
5-2,0.009521281588356079,0.029411750681890503,0.03893303227024658,60.036343519,264158
5-3,0.009945725014120714,0.023434625979463816,0.03338035099358453,23.965262458,111124
5-4,0.009961675961474889,0.045899321255476425,0.055860997216951314,21.309459575,103487
5-5,0.008523171680008622,0.04210064704661929,0.05062381872662791,60.000068547,271042
5-6,0.02508642113668927,0.036217499640330914,0.06130392077702018,60.000095038,250595
5-7,0.01665292056905155,0.06054797711292031,0.07720089768197186,60.000115998,248215
5-8,0.04970346207893003,0.06191735577776765,0.11162081785669768,60.000149891,248038
5-9,0.02629501365762709,0.05255423426190715,0.07884924791953424,60.000098538,239753
